patch_length_mm,patch_width_mm,substrate_h_mm,eps_r,feed_offset_mm,resonant_freq_GHz,return_loss_dB
27,22,1.6,4.4,7,2.669,-26.1
27,22,1.6,4.4,10,2.638,-19.8
27,28,1.6,4.4,10,2.656,-24.2
27.5,19,1.6,4.4,6,2.636,-25.7
27.5,26,1.6,4.4,7,2.604,-32.2
27.5,26,1.6,4.4,7,2.601,-28
28,19,1.6,4.4,10,2.575,-18.1
28,21,1.6,4.4,6,2.553,-29.3
28,21,1.6,4.4,10,2.563,-17.5
28,22,1.6,4.4,4,2.552,-24.6
28,25,1.6,4.4,10,2.53,-24.3
28,28,1.6,4.4,8,2.557,-29.2
28,28,1.6,4.4,10,2.548,-23.1
28.5,21,1.6,4.4,7,2.548,-26.4
28.5,25,1.6,4.4,6,2.511,-26.8
29,18,1.6,4.4,3,2.532,-25.7
29,22,1.6,4.4,7,2.474,-25.7
29,24,1.6,4.4,3,2.481,-21.6
29,26,1.6,4.4,3,2.487,-23.8
29,27,1.6,4.4,3,2.481,-21.9
29,28,1.6,4.4,4,2.463,-23.5
29.5,18,1.6,4.4,3,2.444,-25.1
29.5,21,1.6,4.4,2,2.46,-22.7
29.5,23,1.6,4.4,10,2.418,-20.3
29.5,24,1.6,4.4,4,2.425,-22.8
30,26,1.6,4.4,10,2.395,-21
30,28,1.6,4.4,5,2.367,-23.6
30.5,22,1.6,4.4,5,2.354,-29.6
30.5,22,1.6,4.4,6,2.369,-31.9
30.5,23,1.6,4.4,5,2.347,-29.5
30.5,27,1.6,4.4,3,2.347,-20.3
31,19,1.6,4.4,6,2.337,-28.1
31,19,1.6,4.4,8,2.328,-21.7
31,23,1.6,4.4,10,2.325,-20.1
31,23,1.6,4.4,10,2.33,-21.1
31,24,1.6,4.4,2,2.322,-18.7
31,25,1.6,4.4,4,2.309,-25.5
31,26,1.6,4.4,9,2.316,-24.3
31.5,18,1.6,4.4,6,2.317,-28.1
31.5,19,1.6,4.4,9,2.287,-21.5
31.5,22,1.6,4.4,5,2.298,-27.9
31.5,22,1.6,4.4,8,2.291,-24.3
31.5,22,1.6,4.4,10,2.266,-19.4
31.5,24,1.6,4.4,3,2.302,-26.3
31.5,24,1.6,4.4,5,2.31,-28.5
31.5,25,1.6,4.4,7,2.281,-29.4
31.5,28,1.6,4.4,10,2.269,-22.9
32,23,1.6,4.4,9,2.242,-23.3
32,28,1.6,4.4,4,2.252,-23.2
32.5,25,1.6,4.4,6,2.215,-27.8
33,22,1.6,4.4,10,2.186,-18.7
33,24,1.6,4.4,2,2.178,-20.7
33.5,18,1.6,4.4,8,2.158,-22.7
33.5,25,1.6,4.4,7,2.125,-29.6
34,20,1.6,4.4,3,2.125,-27.5
34.5,19,1.6,4.4,8,2.116,-20.9
34.5,22,1.6,4.4,6,2.112,-27.2
34.5,23,1.6,4.4,9,2.1,-23.2
34.5,26,1.6,4.4,3,2.084,-19.7
34.5,26,1.6,4.4,8,2.095,-26.3
34.5,28,1.6,4.4,10,2.083,-23.5
35,18,1.6,4.4,7,2.077,-27.2
35,20,1.6,4.4,4,2.103,-28.7
35,24,1.6,4.4,8,2.076,-24.8
35,26,1.6,4.4,7,2.049,-31.1
35,27,1.6,4.4,4,2.054,-22.2
35,28,1.6,4.4,8,2.082,-30.8
35.5,19,1.6,4.4,6,2.066,-27.7
35.5,20,1.6,4.4,9,2.062,-20.7
35.5,20,1.6,4.4,10,2.058,-20.1
35.5,23,1.6,4.4,7,2.053,-25.6
35.5,26,1.6,4.4,7,2.023,-28.1
35.5,28,1.6,4.4,10,2.029,-23.6
36,19,1.6,4.4,4,2.029,-31.1
36,21,1.6,4.4,3,2.028,-24.4
36,21,1.6,4.4,6,2.064,-29.9
36,23,1.6,4.4,8,2.002,-25.1
36,26,1.6,4.4,4,2.004,-23.8
36,27,1.6,4.4,2,1.988,-18.6
36,28,1.6,4.4,3,2.022,-21.6
